CASRN	Uterotrophic LEL	PhysChem Properties fu	PhysChem Properties MW, Molecular Weight	PhysChem Properties CLint	PhysChem Properties MP	PhysChem Properties pKa_ionization	PhysChem Properties LogD, pH 7.4
625-69-4	NA	0.926873010415873	104.083729624	1.04180003784828	71.4789484399081	1.0	0.0138251859413414
110-16-7	NA	0.922673897048433	116.010958608	-1.06788749117497	148.18811269424	1.0	-4.47240860999307
965-93-5	NA	0.144024653032338	284.177630008001	1.12517152589155	145.064028478168	1.0	3.03035735104067
67-64-1	NA	0.935439242830292	58.041864812	1.13578437424994	-88.7916194668152	0.0	-0.0632755943938041
1569-01-3	NA	0.624224435867203	118.099379688	0.614658822894895	-62.1929598545651	1.0	0.585320028915143
108-88-3	NA	0.328498387549209	92.062600256	1.12855263046728	-66.9834576731058	0.0	2.65301574834325
619-66-9	NA	0.421800234207079	150.031694052	-1.02299160337748	147.873483682475	1.0	-2.55836933744549
140-66-9	152.0	0.0207404436535219	206.167065324	1.34301132834353	70.8334794442342	1.0	4.86585009299426
36734-19-7	NA	0.00698265820001514	329.033396636	1.08778497178471	135.886301631069	2.0	-0.491189036370405
151-21-3	NA	0.166687467068145	266.155180312	-0.719741066859018	185.726322038544	1.0	1.67181450244502
26538-44-3	0.03	0.154928994934607	322.178023932001	1.40426211745448	110.526272364691	1.0	3.30760994236458
84-75-3	NA	0.438654753322983	334.214409440001	-0.556925585819576	-47.1138220487877	0.0	6.41288682589957
55-98-1	NA	0.911487754245161	246.023180168	0.311906392972609	47.2483606575898	0.0	-0.363283324825559
72-55-9	NA	0.192776613912299	315.938010976	-1.23182557609033	89.900166740222	0.0	6.45815946824038
68-22-4	11.0	0.161573004513264	298.193280072001	1.46999921144714	199.960496316922	1.0	2.94692050533594
39236-46-9	NA	0.908678167467922	388.109109472	-5.58150883723129	147.801570108457	1.0	-3.20528509926221
129453-61-8	NA	0.0151673255358898	606.316607464001	-0.603015369656989	222.226877909869	1.0	9.96111966522
23135-22-0	NA	0.807243498259012	219.067762276	-6.61144128345202	105.230779867933	1.0	-0.53793297549748
542-76-7	NA	0.573424095931462	89.003226808	1.13683398489245	-47.7500444558759	1.0	0.300620447101774
71030-11-0	0.8	0.038214459732299	320.162373868001	1.42887240955284	110.65869971034	1.0	3.72056853252898
60207-90-1	NA	0.0316281169857131	341.069782144	-3.03883603621989	82.6256904276047	1.0	3.54558305371635
140-31-8	NA	0.822658172102109	129.12659748	1.24015399834105	15.0069199247527	1.0	-3.15668688907567
3121-61-7	NA	0.899158147942022	130.06299418	0.701731428907521	-57.3880823794115	0.0	0.502818310484966
549-18-8	NA	0.0682532380933272	277.183049736001	-0.274186198090852	185.288612819495	1.0	2.3419422274935
112-57-2	NA	0.88951137375659	189.195345736	-2.4246107564591	-20.6667763112698	1.0	-2.5905164474694
520-36-5	5.0	0.015669296620882	270.05282342	1.46618757475054	310.338115568951	1.0	2.97946830601865
480-40-0	NA	0.0294390602457296	254.0579088	1.40082029670821	279.367056733388	1.0	3.34541263947488
76-43-7	NA	0.0520816541720246	336.210073008001	1.41591320425334	267.281315751995	1.0	2.42798679769583
35212-22-7	200.0	0.0793348440795753	280.109944372	-0.687560310438538	90.4058298293367	0.0	4.3943931462807
51630-58-1	NA	0.0100582301225959	419.128821244001	0.366411361991154	61.7746978739446	1.0	6.05665436192885
98-07-7	NA	0.128090625081275	193.9456832	1.03022011377128	26.7346822776945	0.0	4.10315558944052
111-27-3	NA	0.414959732445954	102.104465068	0.389555569313408	-58.2585872201849	1.0	1.95651953728369
43141-69-1	NA	0.0120225056339742	221.177964356	1.28364179405927	66.6013972822056	2.0	2.89901727501281
50-27-1	0.0018440000000000002	0.150306483588685	288.172544628001	1.15286366243659	270.139308668513	1.0	2.63492519571995
108-77-0	NA	0.700360061157788	182.91578004	1.08347084761322	144.350934165419	1.0	1.86680882977058
117-81-7	NA	0.886275388028299	390.277009696001	-0.301722475265398	-27.1123396535404	0.0	7.65844716675284
88-18-6	NA	0.0803930713255781	150.104465068	-2.96647577952347	18.9708710957447	1.0	3.32837571156638
996-35-0	NA	0.962103929252671	87.104799416	1.13932240582764	-148.488281382514	1.0	-1.70357096355549
70-30-4	NA	0.075090876017992	403.849895512	1.11432205241449	166.999627512492	1.0	7.26839541024663
143-50-0	6.0	0.0102659067272832	485.68344142	1.13128220282815	253.094779355676	0.0	5.49302535395794
1119-62-6	NA	0.819340631856502	210.0020508	-2.20971189830761	229.793046862942	1.0	-2.02124202156205
17924-92-4	6.1	0.0378339568472508	318.146723804001	-0.0206478197649831	165.680740012962	1.0	3.73602554026628
56-75-7	NA	0.420118552696548	322.012326844	-0.121110544101353	157.264416612015	1.0	1.09296497250351
119-61-9	500.0	0.0586695440892084	182.07316494	0.642265074440896	59.005299153745	0.0	3.27814066334076
1623-08-1	NA	0.0167852289304096	278.07079559	0.66394218268661	71.9586207293471	1.0	1.25521776881764
638-29-9	NA	0.384448141279957	120.034192588	1.06469878586893	-93.9156210575003	0.0	1.25337073800745
84-74-2	NA	0.038643106386971	278.151809184001	0.560537038156052	-11.5860295928282	0.0	4.50979778562186
